OXF,Oxford (Kidlington) Airport,GB
BEX,RAF Benson,GB
LKZ,RAF Lakenheath,GB
MHZ,RAF Mildenhall,GB
FFD,RAF Fairford,GB
BZZ,RAF Brize Norton,GB
ODH,RAF Odiham,GB
NHT,RAF Northolt,GB
QCY,RAF Coningsby,GB
BEQ,RAF Honington,GB
SQZ,RAF Scampton,GB
WTN,RAF Waddington,GB
KNF,RAF Marham,GB
AMS,Amsterdam Airport Schiphol,NL
MST,Maastricht Aachen Airport,NL
EIN,Eindhoven Airport,NL
GRQ,Groningen Airport Eelde,NL
GLZ,Gilze Rijen Air Base,NL
DHR,De Kooy Airfield / Den Helder Naval Air Station,NL
LEY,Lelystad Airport,NL
LWR,Leeuwarden Air Base,NL
RTM,Rotterdam The Hague Airport,NL
ENS,Twente Airport,NL
UDE,Volkel Air Base,NL
WOE,Woensdrecht Air Base,NL
ORK,Cork Airport,IE
GWY,Galway Airport,IE
CFN,Donegal Airport,IE
DUB,Dublin Airport,IE
NOC,Ireland West Knock Airport,IE
KIR,Kerry Airport,IE
SNN,Shannon Airport,IE
SXL,Sligo Airport,IE
WAT,Waterford Airport,IE
AAR,Aarhus Airport,DK
BLL,Billund Airport,DK
CPH,Copenhagen Kastrup Airport,DK
EBJ,Esbjerg Airport,DK
KRP,Karup Airport,DK
MRW,Lolland Falster Maribo Airport,DK
ODE,Odense Airport,DK
RKE,Copenhagen Roskilde Airport,DK
RNN,Bornholm Airport,DK
SGD,Sønderborg Airport,DK
CNL,Sindal Airport,DK
SKS,Skrydstrup Air Base,DK
SQW,Skive Airport,DK
TED,Thisted Airport,DK
FAE,Vágar Airport,FO
STA,Stauning Airport,DK
AAL,Aalborg Airport,DK
LUX,Luxembourg-Findel International Airport,LU
AES,"Ålesund Airport, Vigra",NO
ANX,"Andøya Airport, Andenes",NO
ALF,Alta Airport,NO
BNN,"Brønnøysund Airport, Brønnøy",NO
BOO,Bodø Airport,NO
BGO,"Bergen Airport, Flesland",NO
BJF,Båtsfjord Airport,NO
